City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Des,Date
136,Lorengau,PG,-2.0226,147.2712,81.3,80,93,9.04,overcast clouds,2021-03-28 16:09:43
137,Carnarvon,AU,-24.8667,113.6333,75.2,94,0,4.61,clear sky,2021-03-28 16:08:19
138,Tautira,PF,-17.7333,-149.15,77.0,78,20,4.61,light rain,2021-03-28 16:09:43
139,Luba,GQ,3.4568,8.5547,87.8,74,20,11.5,light rain,2021-03-28 16:09:44
140,Ranong,TH,9.9658,98.6348,78.53,88,100,3.74,overcast clouds,2021-03-28 16:09:44
141,Staryy Nadym,RU,65.6118,72.6842,-7.53,99,11,10.16,few clouds,2021-03-28 16:09:44
142,Hithadhoo,MV,-0.6,73.0833,82.38,76,100,18.23,overcast clouds,2021-03-28 16:09:44
143,Sandpoint,US,48.2766,-116.5533,46.0,65,1,6.91,clear sky,2021-03-28 16:09:45
144,Tiarei,PF,-17.5333,-149.3333,77.0,78,20,4.61,light rain,2021-03-28 16:09:45
145,Otane,NZ,-39.8833,176.6333,66.99,71,98,2.37,overcast clouds,2021-03-28 16:09:45
146,Vardo,NO,70.3705,31.1107,37.4,75,75,6.91,broken clouds,2021-03-28 16:09:46
147,Shimanovsk,RU,52.0,127.7,36.77,80,100,8.75,overcast clouds,2021-03-28 16:09:46
148,Zhezkazgan,KZ,47.8043,67.7144,29.37,81,86,5.91,overcast clouds,2021-03-28 16:06:56
149,Baykit,RU,61.67,96.37,15.89,99,92,1.21,overcast clouds,2021-03-28 16:06:54
150,Abaza,RU,52.655,90.0928,34.97,98,100,2.73,overcast clouds,2021-03-28 16:08:55
151,Faanui,PF,-16.4833,-151.75,82.02,75,61,22.1,broken clouds,2021-03-28 16:09:03
152,Casas Grandes,MX,30.3667,-107.95,55.99,33,0,8.99,clear sky,2021-03-28 16:09:46
153,Despotovac,RS,44.0925,21.4469,52.0,30,99,6.55,overcast clouds,2021-03-28 16:09:46
154,Carmarthen,GB,51.8555,-4.3054,50.0,93,90,32.21,overcast clouds,2021-03-28 16:09:47
155,Ahipara,NZ,-35.1667,173.1667,65.66,94,99,7.61,moderate rain,2021-03-28 16:09:47
156,Thompson,CA,55.7435,-97.8558,8.6,72,75,2.3,broken clouds,2021-03-28 16:09:47
157,Inuvik,CA,68.3499,-133.7218,-20.2,76,100,5.75,overcast clouds,2021-03-28 16:09:47
158,Saint George,US,37.1041,-113.5841,55.0,40,1,4.61,clear sky,2021-03-28 16:09:48
159,Alyangula,AU,-13.8483,136.4192,82.26,79,96,11.68,overcast clouds,2021-03-28 16:09:48
160,Cape Town,ZA,-33.9258,18.4232,75.99,46,0,11.5,clear sky,2021-03-28 16:08:28
161,El Sauzal,MX,31.9,-116.6833,63.0,55,0,1.01,clear sky,2021-03-28 16:09:48
162,Saldanha,ZA,-33.0117,17.9442,77.0,36,100,14.97,overcast clouds,2021-03-28 16:09:49
163,Margosatubig,PH,7.5777,123.1658,78.17,87,98,2.17,overcast clouds,2021-03-28 16:09:49
164,Millington,US,35.3415,-89.8973,59.0,51,40,16.11,scattered clouds,2021-03-28 16:09:49
165,Katobu,ID,-4.9408,122.5276,74.62,94,90,1.23,overcast clouds,2021-03-28 16:09:49
166,Mount Gambier,AU,-37.8333,140.7667,55.4,94,90,6.91,overcast clouds,2021-03-28 16:08:50
167,Karaton,ID,-6.3424,106.1045,82.99,83,40,5.75,haze,2021-03-28 16:09:50
168,Namatanai,PG,-3.6667,152.4333,79.03,79,100,8.16,overcast clouds,2021-03-28 16:09:50
169,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,95.9,23,35,5.12,scattered clouds,2021-03-28 16:09:50
170,Ondjiva,AO,-17.0667,15.7333,79.41,53,97,4.47,overcast clouds,2021-03-28 16:09:50
171,Kruisfontein,ZA,-34.0033,24.7314,64.99,69,100,5.01,overcast clouds,2021-03-28 16:06:07
172,Kirakira,SB,-10.4544,161.9205,80.08,82,20,6.64,few clouds,2021-03-28 16:09:51
173,Pecos,US,31.4229,-103.4932,59.0,33,1,9.22,clear sky,2021-03-28 16:09:51
174,Mount Isa,AU,-20.7333,139.5,80.6,29,1,14.97,clear sky,2021-03-28 16:09:51
175,Bud,US,39.447,-86.1758,42.01,81,99,19.48,overcast clouds,2021-03-28 16:09:51
176,Praia Da Vitoria,PT,38.7333,-27.0667,64.4,72,40,14.99,scattered clouds,2021-03-28 16:09:45
177,Castro,BR,-24.7911,-50.0119,78.55,58,17,7.7,few clouds,2021-03-28 16:09:52
178,Laguna,US,38.421,-121.4238,60.01,58,1,1.5,clear sky,2021-03-28 16:09:52
179,Teguldet,RU,57.3064,88.1667,30.97,97,99,6.2,light snow,2021-03-28 16:09:52
180,Bonthe,SL,7.5264,-12.505,85.95,65,65,13.29,broken clouds,2021-03-28 16:09:52
181,Charters Towers,AU,-20.1,146.2667,70.57,80,0,8.05,clear sky,2021-03-28 16:09:53
182,Tasiilaq,GL,65.6145,-37.6368,21.2,53,20,9.22,few clouds,2021-03-28 16:09:53
183,Sambava,MG,-14.2667,50.1667,79.07,86,54,6.76,moderate rain,2021-03-28 16:09:11
184,Pochutla,MX,15.7432,-96.4661,89.01,45,1,11.5,clear sky,2021-03-28 16:09:53
185,Padang,ID,-0.9492,100.3543,75.2,94,40,5.75,light rain,2021-03-28 16:09:54
186,Boksitogorsk,RU,59.474,33.8485,39.99,57,77,1.99,light rain,2021-03-28 16:09:54
187,Saiha,IN,22.4833,92.9667,68.61,27,96,2.8,overcast clouds,2021-03-28 16:09:54
188,Inongo,CD,-1.95,18.2667,79.5,73,41,2.62,light rain,2021-03-28 16:09:54
189,Suntar,RU,62.1444,117.6319,11.79,96,98,3.71,overcast clouds,2021-03-28 16:09:55
190,Pulandian,CN,39.3953,121.9669,46.0,61,20,6.71,dust,2021-03-28 16:09:55
191,Mastic Beach,US,40.7668,-72.8521,54.0,87,90,11.5,moderate rain,2021-03-28 16:09:55
192,Riyadh,SA,24.6877,46.7219,69.8,13,4,11.5,clear sky,2021-03-28 16:06:58
193,Tarrafal,CV,15.2833,-23.7667,73.4,60,20,27.63,few clouds,2021-03-28 16:09:55
194,Mar Del Plata,AR,-38.0023,-57.5575,68.0,77,75,13.8,light rain,2021-03-28 16:05:00
195,Klaksvik,FO,62.2266,-6.589,41.0,81,40,20.71,scattered clouds,2021-03-28 16:09:56
196,Adrar,MR,20.5022,-10.0711,98.15,4,47,10.67,scattered clouds,2021-03-28 16:09:56
197,Asau,RO,46.4333,26.4,42.01,49,81,4.32,broken clouds,2021-03-28 16:08:29
198,Tabou,CI,4.423,-7.3528,83.53,70,18,9.22,few clouds,2021-03-28 16:09:56
199,Khuzhir,RU,53.1939,107.3397,21.79,88,78,5.75,broken clouds,2021-03-28 16:09:56
200,Yekaterinovka,RU,52.0508,44.3451,31.66,94,100,10.67,overcast clouds,2021-03-28 16:09:57
201,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,64,20,5.75,few clouds,2021-03-28 16:09:57
202,Yarim,YE,14.298,44.3779,58.87,39,40,5.14,scattered clouds,2021-03-28 16:09:57
203,Lata,PT,40.1629,-8.3327,77.0,39,44,7.74,scattered clouds,2021-03-28 16:09:58
204,Yazman,PK,29.1212,71.7446,93.56,9,0,8.37,clear sky,2021-03-28 16:09:58
205,Kavaratti,IN,10.5669,72.642,84.2,73,100,7.96,overcast clouds,2021-03-28 16:09:58
206,Houma,US,29.5958,-90.7195,80.01,83,75,9.22,broken clouds,2021-03-28 16:09:58
207,Cockburn Town,TC,21.4612,-71.1419,77.36,75,1,22.24,clear sky,2021-03-28 16:09:20
208,Bukama,CD,-9.2,25.85,75.51,90,42,3.4,light rain,2021-03-28 16:09:59
209,Sakakah,SA,29.9697,40.2064,68.0,10,0,4.61,clear sky,2021-03-28 16:09:59
210,Montelibano,CO,7.9829,-75.4229,86.94,61,92,1.16,overcast clouds,2021-03-28 16:09:59
211,Noumea,NC,-22.2763,166.4572,71.6,88,75,6.71,broken clouds,2021-03-28 16:09:59
212,Hasaki,JP,35.7333,140.8333,62.6,94,75,14.97,moderate rain,2021-03-28 16:10:00
213,Broome,US,42.2506,-75.833,53.01,93,90,13.8,overcast clouds,2021-03-28 16:10:00
214,Leshukonskoye,RU,64.8989,45.7622,34.9,94,100,8.93,overcast clouds,2021-03-28 16:10:00
215,Troitsko-Pechorsk,RU,62.7084,56.1964,25.61,91,53,5.73,broken clouds,2021-03-28 16:10:01
216,Akyab,MM,20.15,92.9,81.3,72,97,4.47,light rain,2021-03-28 16:10:01
217,Soe,ID,-9.8607,124.284,66.15,90,100,3.2,overcast clouds,2021-03-28 16:07:16
218,Bandarbeyla,SO,9.4942,50.8122,79.95,71,86,7.45,overcast clouds,2021-03-28 16:09:44
219,Mazatlan,MX,23.2167,-106.4167,68.0,63,75,3.44,broken clouds,2021-03-28 16:10:02
220,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,21.2,49,9,8.95,clear sky,2021-03-28 16:10:02
221,Kununurra,AU,-15.7667,128.7333,77.0,94,98,4.61,overcast clouds,2021-03-28 16:10:02
222,Mutsu,JP,41.2894,141.2169,51.8,100,90,4.61,moderate rain,2021-03-28 16:10:02
223,Torbay,CA,47.6666,-52.7314,27.0,80,90,14.97,light snow,2021-03-28 16:09:28
224,Paka,MY,4.6374,103.4368,80.6,89,11,1.74,few clouds,2021-03-28 16:07:23
225,Yaan,NG,7.3833,8.5667,101.23,9,7,8.63,clear sky,2021-03-28 16:10:03
226,Kralendijk,BQ,12.15,-68.2667,78.82,78,86,21.14,overcast clouds,2021-03-28 16:10:03
