City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Hefei,CN,2021-03-26 20:06:23,31.8639,117.2808,59.0,94,75,8.95
155,Berlevag,NO,2021-03-26 20:06:23,70.8578,29.0864,28.4,59,0,34.52
156,Bria,CF,2021-03-26 20:06:23,6.5423,21.9863,70.05,87,90,3.53
157,Khatanga,RU,2021-03-26 20:06:24,71.9667,102.5,-12.41,99,91,2.37
158,Naze,JP,2021-03-26 20:06:24,28.3667,129.4833,63.3,68,2,13.35
159,Nishihara,JP,2021-03-26 20:06:24,26.1842,127.7558,69.8,73,40,17.27
160,Bulgan,MN,2021-03-26 20:02:20,48.8125,103.5347,28.74,74,10,23.64
161,Kruisfontein,ZA,2021-03-26 20:06:25,-34.0033,24.7314,66.99,68,28,3.0
162,Maun,BW,2021-03-26 20:06:25,-19.9833,23.4167,73.4,100,75,2.3
163,Maniitsoq,GL,2021-03-26 20:06:26,65.4167,-52.9,0.84,76,100,20.85
164,Umm Lajj,SA,2021-03-26 20:06:26,25.0213,37.2685,69.1,50,2,14.09
165,Arraial Do Cabo,BR,2021-03-26 20:06:26,-22.9661,-42.0278,89.6,74,0,14.97
166,Tieli,CN,2021-03-26 20:06:26,46.95,128.05,40.03,89,100,9.6
167,Longyearbyen,SJ,2021-03-26 20:05:28,78.2186,15.6401,19.4,63,40,18.41
168,Bougouni,ML,2021-03-26 20:06:27,11.417,-7.479,88.36,11,0,5.3
169,Cabo San Lucas,MX,2021-03-26 20:06:27,22.8909,-109.9124,75.99,53,40,13.8
170,Kolno,PL,2021-03-26 20:06:27,53.4115,21.9291,37.4,100,85,8.61
171,Rawson,AR,2021-03-26 20:06:28,-43.3002,-65.1023,65.59,47,0,10.29
172,Pisco,PE,2021-03-26 20:06:28,-13.7,-76.2167,77.0,57,0,25.32
173,Shizunai,JP,2021-03-26 20:06:28,42.3339,142.3669,32.43,67,19,10.29
174,Geraldton,AU,2021-03-26 20:06:29,-28.7667,114.6,62.6,77,7,11.5
175,Khovu-Aksy,RU,2021-03-26 20:06:29,51.1333,93.6,9.16,83,2,3.27
176,Kapaa,US,2021-03-26 20:06:29,22.0752,-159.319,75.2,88,40,5.75
177,Barguzin,RU,2021-03-26 20:06:30,53.6167,109.6167,20.16,88,100,4.76
178,Vanimo,PG,2021-03-26 20:06:30,-2.6741,141.3028,76.55,89,99,4.85
179,Bowen,AU,2021-03-26 20:06:30,-20.0167,148.2333,73.4,94,43,4.61
180,Rwamagana,RW,2021-03-26 20:06:30,-1.9487,30.4347,68.0,73,75,6.91
181,Nouadhibou,MR,2021-03-26 20:06:31,20.931,-17.0347,68.0,73,20,18.41
182,Georgetown,MY,2021-03-26 20:02:02,5.4112,100.3354,78.01,94,20,1.12
183,Ishigaki,JP,2021-03-26 20:06:31,24.3448,124.1572,73.06,84,3,19.28
184,Camacha,PT,2021-03-26 20:06:31,33.0833,-16.3333,64.4,88,40,12.66
185,Manyana,BW,2021-03-26 20:06:32,-23.4,21.7167,70.0,67,53,11.5
186,Soller,ES,2021-03-26 20:06:32,39.7662,2.7152,59.0,82,20,2.3
187,Manokwari,ID,2021-03-26 20:06:32,-0.8667,134.0833,77.67,85,94,4.27
188,Hasaki,JP,2021-03-26 20:03:54,35.7333,140.8333,37.4,87,0,2.3
189,Padang,ID,2021-03-26 20:04:43,-0.9492,100.3543,77.0,94,90,2.3
190,Vostok,RU,2021-03-26 20:06:32,46.4856,135.8833,23.5,91,100,4.81
191,Warrnambool,AU,2021-03-26 20:06:33,-38.3833,142.4833,55.99,89,99,1.99
192,Maturin,VE,2021-03-26 20:06:33,9.75,-63.1767,87.94,43,100,11.16
193,Gunjur,GM,2021-03-26 20:06:33,13.2019,-16.7339,73.4,68,9,10.36
194,Zhuji,CN,2021-03-26 20:06:34,29.7188,120.2423,66.2,72,0,4.47
195,Rapid Valley,US,2021-03-26 20:06:34,44.0625,-103.1463,46.4,49,75,16.11
196,Kyra,RU,2021-03-26 20:06:34,49.5776,111.9753,30.13,59,100,4.25
197,Victoria,HK,2021-03-26 20:06:10,22.2855,114.1577,73.0,88,99,8.81
198,Chokurdakh,RU,2021-03-26 20:06:34,70.6333,147.9167,-31.85,100,76,4.47
199,Severo-Kurilsk,RU,2021-03-26 20:06:35,50.6789,156.125,26.74,92,100,17.76
200,Fairbanks,US,2021-03-26 20:06:35,64.8378,-147.7164,25.0,93,75,4.61
201,New Berlin,US,2021-03-26 20:03:33,42.9764,-88.1084,41.0,70,90,5.75
202,Atikokan,CA,2021-03-26 20:06:35,48.7555,-91.6216,37.45,61,96,6.04
203,Clyde River,CA,2021-03-26 20:06:35,70.4692,-68.5914,-5.8,65,75,4.94
204,Beira,MZ,2021-03-26 20:06:36,-19.8436,34.8389,77.0,88,20,5.75
205,Beloha,MG,2021-03-26 20:06:36,-25.1667,45.05,73.56,83,1,3.36
206,Vaitape,PF,2021-03-26 20:06:36,-16.5167,-151.75,83.28,72,4,21.54
207,Walvis Bay,NA,2021-03-26 20:06:37,-22.9575,14.5053,63.0,88,36,9.22
208,Laramie,US,2021-03-26 20:05:08,41.3114,-105.5911,37.99,69,90,10.36
209,Kyren,RU,2021-03-26 20:06:37,51.6828,102.1408,28.56,90,100,4.21
210,Wewak,PG,2021-03-26 20:06:37,-3.5534,143.6268,77.05,90,100,8.19
211,Ambilobe,MG,2021-03-26 20:06:37,-13.2,49.05,73.26,95,100,2.44
212,Akcakoca,TR,2021-03-26 20:06:38,41.0866,31.1162,38.07,97,100,7.45
213,Saint-Francois,FR,2021-03-26 20:06:38,46.4154,3.9054,52.0,87,88,3.44
214,Carnarvon,AU,2021-03-26 20:06:38,-24.8667,113.6333,75.2,73,100,12.66
215,Terney,RU,2021-03-26 20:06:38,45.0503,136.6092,32.99,74,100,4.68
216,Gonaives,HT,2021-03-26 20:06:39,19.45,-72.6833,88.16,44,16,13.6
217,Coihaique,CL,2021-03-26 20:06:39,-45.5752,-72.0662,62.6,55,75,5.75
218,Freeport,US,2021-03-26 20:05:49,40.6576,-73.5832,80.6,52,1,14.97
219,Eureka,US,2021-03-26 20:06:25,40.8021,-124.1637,57.99,62,0,5.99
220,Nara,JP,2021-03-26 20:06:39,34.6851,135.8049,46.0,81,76,1.01
221,Tupelo,US,2021-03-26 20:06:40,34.2576,-88.7034,73.4,40,1,2.26
222,Atar,MR,2021-03-26 20:06:40,20.5169,-13.0499,85.96,8,10,6.46
223,Nyrob,RU,2021-03-26 20:06:40,60.733,56.7202,32.02,94,100,5.14
224,Mahajanga,MG,2021-03-26 20:06:40,-15.7167,46.3167,78.8,89,20,3.44
225,Rabo De Peixe,PT,2021-03-26 20:06:41,37.8,-25.5833,57.2,67,20,11.5
226,Saint Anthony,US,2021-03-26 20:06:41,45.0205,-93.218,45.0,52,1,5.75
227,Namibe,AO,2021-03-26 20:06:26,-15.1961,12.1522,74.28,83,100,5.66
228,Bettiah,IN,2021-03-26 20:06:41,26.8,84.5,70.32,19,0,4.47
229,Tocopilla,CL,2021-03-26 20:06:41,-22.092,-70.1979,71.94,68,15,8.77
230,Neuquen,AR,2021-03-26 20:01:47,-38.9516,-68.0591,77.0,27,0,9.22
231,Manoharpur,IN,2021-03-26 20:06:42,27.3,75.95,72.18,36,0,1.97
232,Castrovillari,IT,2021-03-26 20:06:42,39.8203,16.2123,51.01,72,3,1.01
233,Tavricheskoye,RU,2021-03-26 20:06:42,54.5851,73.6395,23.0,86,0,4.47
234,Ossora,RU,2021-03-26 20:06:42,59.2353,163.0719,-6.54,89,18,5.17
235,Zilair,RU,2021-03-26 20:06:43,52.2332,57.4392,23.45,89,100,6.89
236,Birjand,IR,2021-03-26 20:06:43,32.8663,59.2211,77.0,11,90,6.91
237,Kahului,US,2021-03-26 20:06:43,20.8947,-156.47,80.6,74,20,5.75
238,Canakkale,TR,2021-03-26 20:06:43,40.0833,26.8333,37.4,75,0,3.44
239,Laguna,US,2021-03-26 20:06:44,38.421,-121.4238,70.0,19,1,13.8
240,Alta Floresta,BR,2021-03-26 20:06:44,-9.8756,-56.0861,89.6,51,40,4.61
241,San Remo,IT,2021-03-26 20:06:44,43.8182,7.7612,54.0,94,40,11.5
242,Ancud,CL,2021-03-26 20:06:45,-41.8697,-73.8203,60.8,67,20,6.91
243,Xai-Xai,MZ,2021-03-26 20:06:45,-25.0519,33.6442,73.47,83,57,7.63
244,San Francisco,US,2021-03-26 20:04:19,37.7749,-122.4194,68.0,32,1,6.78
245,Haines Junction,CA,2021-03-26 20:06:45,60.7522,-137.5108,24.8,63,100,3.44
246,Kattivakkam,IN,2021-03-26 20:06:45,13.2167,80.3167,80.6,83,40,2.3
247,Mount Isa,AU,2021-03-26 20:06:46,-20.7333,139.5,71.6,33,0,8.05
248,Boende,CD,2021-03-26 20:06:46,-0.2167,20.8667,70.23,97,97,2.33
249,Waingapu,ID,2021-03-26 20:06:46,-9.6567,120.2641,77.13,85,100,5.37
250,Comodoro Rivadavia,AR,2021-03-26 20:06:47,-45.8667,-67.5,64.4,52,0,9.22
251,Anqing,CN,2021-03-26 20:04:19,30.5092,117.0506,63.79,92,99,4.59
252,Silvino Lobos,PH,2021-03-26 20:06:47,12.3,124.8333,72.63,98,87,2.1
253,Tripoli,LY,2021-03-26 20:06:47,32.8752,13.1875,57.87,58,0,9.82
254,Bagan,RU,2021-03-26 20:06:47,54.1001,77.6646,12.88,96,44,7.31
255,Pijijiapan,MX,2021-03-26 20:06:48,15.7011,-93.23,91.6,39,14,10.49
256,Avera,US,2021-03-26 20:06:48,33.194,-82.5271,66.2,80,90,4.61
257,Henties Bay,NA,2021-03-26 20:06:48,-22.116,14.2845,63.0,92,0,5.99
258,Torbay,CA,2021-03-26 20:05:28,47.6666,-52.7314,48.99,81,90,25.32
259,Siuna,NI,2021-03-26 20:06:49,13.7332,-84.7773,93.72,30,9,8.03
260,Flinders,AU,2021-03-26 20:06:49,-34.5833,150.8552,61.0,88,16,1.01
261,Norton Shores,US,2021-03-26 20:03:47,43.1689,-86.2639,43.0,61,90,8.05
262,Kadirli,TR,2021-03-26 20:06:49,37.3739,36.0961,44.01,68,63,4.65
263,Mao,ES,2021-03-26 20:06:49,39.8885,4.2658,55.4,88,0,5.75
264,Karratha,AU,2021-03-26 20:06:50,-20.7377,116.8463,81.34,69,0,7.18
265,Brooks,CA,2021-03-26 20:06:34,50.5834,-111.8851,37.4,56,100,2.3
266,Santa Barbara,US,2021-03-26 20:05:12,34.7333,-120.0343,64.99,51,1,4.61
267,Shimoda,JP,2021-03-26 20:06:22,34.6667,138.95,46.99,69,42,3.0
268,Paamiut,GL,2021-03-26 20:06:50,61.994,-49.6678,4.05,64,49,26.37
269,Dalmeny,CA,2021-03-26 20:06:50,52.3334,-106.7679,34.0,51,90,10.36
270,Cacapava Do Sul,BR,2021-03-26 20:06:51,-30.5122,-53.4914,71.19,85,100,4.45
271,Asau,RO,2021-03-26 20:06:51,46.4333,26.4,34.0,58,7,4.47
272,Koumac,NC,2021-03-26 20:06:51,-20.5667,164.2833,77.36,76,3,3.22
273,New Norfolk,AU,2021-03-26 20:06:52,-42.7826,147.0587,54.0,78,100,1.34
274,Balkhash,KZ,2021-03-26 20:06:52,46.844,74.9804,36.88,82,80,1.32
275,Kalety,PL,2021-03-26 20:06:52,50.5627,18.8926,51.01,66,0,11.5
276,Ribeira Grande,PT,2021-03-26 20:06:52,38.5167,-28.7,60.8,59,20,12.66
277,Springfield,US,2021-03-26 20:06:53,37.2153,-93.2982,66.0,48,1,8.05
278,Piojo,CO,2021-03-26 20:06:53,10.7485,-75.1078,89.6,58,0,14.97
279,Itoman,JP,2021-03-26 20:06:53,26.1247,127.6694,69.8,78,20,11.5
280,Luderitz,NA,2021-03-26 20:06:54,-26.6481,15.1594,63.55,79,0,9.01
281,Ghatampur,IN,2021-03-26 20:06:54,26.1667,80.1667,74.86,19,0,4.29
282,Assiniboia,CA,2021-03-26 20:06:54,49.6334,-105.9845,32.0,55,99,8.05
283,Labytnangi,RU,2021-03-26 20:06:54,66.6572,66.4183,4.03,92,69,5.12
284,Iqaluit,CA,2021-03-26 20:06:55,63.7506,-68.5145,-11.0,58,1,17.27
285,Ponta Do Sol,PT,2021-03-26 20:06:55,32.6667,-17.1,66.2,88,40,8.05
286,Ubauro,PK,2021-03-26 20:06:55,28.1652,69.7289,82.0,19,0,4.99
287,Kloulklubed,PW,2021-03-26 20:06:56,7.0419,134.2556,77.0,94,75,6.91
288,Alakurtti,RU,2021-03-26 20:06:56,66.9672,30.3491,28.99,76,100,4.0
289,San Pedro,PH,2021-03-26 20:06:56,14.35,121.0167,80.6,78,20,1.14
290,Klyuchi,RU,2021-03-26 20:06:56,52.2667,79.1667,15.4,96,95,4.92
291,Vila Franca Do Campo,PT,2021-03-26 20:06:57,37.7167,-25.4333,57.2,67,20,11.5
292,Pilar,BR,2021-03-26 20:03:09,-9.5972,-35.9567,77.0,88,75,5.75
293,Kimbe,PG,2021-03-26 20:06:57,-5.5502,150.1429,75.49,91,100,4.16
294,Baker City,US,2021-03-26 20:06:57,44.7749,-117.8344,48.2,43,75,8.05
295,Lompoc,US,2021-03-26 20:06:11,34.6391,-120.4579,63.0,63,1,16.11
